Parking Lot / Zone Name,Restrictions,Required,Parking Restrictions,Overflow Lot
A,Restricted after 4PM,Gated; 7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
AA,Special Restrictions,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,
B,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
BB,Special Restrictions,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,KK requires lot KK CLPR/permit 7am - 8pm Mon. - Fri. TV requires lot TV CLPR/permit 7am - 4pm Mon. - Fri. Only valid CLPR/permit required all other times. YC requires lot YC CLPR/permit 7am - 6pm Mon. - Fri.,
C1,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
C2,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
CC,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
DD,Restricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
E,Special Restrictions,,,
ERC,Visitor,"7am - 12am Mon. - Fri.; Payment required unless otherwise posted. $4/hr, $20/daily max",,
F,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
FF,Unrestricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required.,Free parking 4pm - 7am Mon. - Fri. and all day Saturday and Sunday. Commuter registrants may not park overnight Mon. - Fri. from 3am - 5am.,
G,24-Hour restricted,24 hours a day 7 days a week valid lot # campus parking reg. required.,Only individuals with a CLPR/permit corresponding to these lots may park here at anytime.,
GG,Restricted after 4PM,7am - 4pm Mon. - Fri. valid lot # campus parking reg. required. Only F/S reg. allowed at all others times.,Only faculty/staff with a valid CLPR/permit may park from 4pm - 7am Mon. - Fri. as well as all day on Saturday and Sunday.,
