Customer,Permit,Time,Permissions,"Personnel Type (Fac/Staff, Student, Visitor)",Permission Explanation
Customer 1,ADA Placard,,,Visitor,"This driver is a visitor without a DOTS permit. When displaying state-issued disabled parking identification, this visitor is able to park in designated visitor spaces, including those that are ADA accessible. At individual metered spaces, guests with disabilities may park at individual metered spaces for twice the amount of time listed on the meter OR four hours, whichever is shorter, and do NOT need to pay for parking during that time. At pay stations spaces, guests with disabilities may park at any visitor pay station space, including spaces that are marked as ADA accessible. Parking payment is required."
Customer 2,Surface Lot,Daily,Lot 1,Visitor,"This driver is a visitor with a DOTS permit. With the DOTS permit displayed, this visitor is eligible to park in Lot 1 for one day."
Customer 3,No Permit,,,Visitor,"This driver is a visitor without a DOTS permit. They are eligible to park in metered or visitor parking spaces and must adhere to the restrictions posted on the parking lot signage. Visitors are required to pay for parking in visitor and metered parking spaces, unless otherwise posted. Pay station facilities accept credit/debit card, and validation/pin codes as methods of payment. The DOTS office does not issue any refunds for pay station transactions. Curbside and other visitor parking areas are enforced 7 a.m. to 12:00 a.m., unless otherwise noted on a meter, excluding University-observed holidays with the exception of Labor Day. Meters, including meters located in surface lots, must be paid during hours of operation. Meter durations vary throughout campus and maximum hours (30 minutes, 2 hours, all day, etc.) are printed on each meter. Please report malfunctioning meters to the DOTS office by calling 301-314-3687 (4DOTS). It is prohibited to park at a space with a malfunctioning meter. Monies placed in a malfunctioning meter will not be refunded. Visitor parking areas include metered spaces throughout campus and designated areas in Union Lane Garage, Stadium Drive Garage, Xfinity Visitor Lot, Mowatt Lane Garage, Mowatt Visitor Lot, and Regents Drive Garage."
Customer 4,No Permit,,,Visitor,"This driver is a visitor without a DOTS permit. They are eligible to park in metered or visitor parking spaces and must adhere to the restrictions posted on the parking lot signage. Visitors are required to pay for parking in visitor and metered parking spaces, unless otherwise posted. Pay station facilities accept credit/debit card, and validation/pin codes as methods of payment. The DOTS office does not issue any refunds for pay station transactions. Curbside and other visitor parking areas are enforced 7 a.m. to 12:00 a.m., unless otherwise noted on a meter, excluding University-observed holidays with the exception of Labor Day. Meters, including meters located in surface lots, must be paid during hours of operation. Meter durations vary throughout campus and maximum hours (30 minutes, 2 hours, all day, etc.) are printed on each meter. Please report malfunctioning meters to the DOTS office by calling 301-314-3687 (4DOTS). It is prohibited to park at a space with a malfunctioning meter. Monies placed in a malfunctioning meter will not be refunded. Visitor parking areas include metered spaces throughout campus and designated areas in Union Lane Garage, Stadium Drive Garage, Xfinity Visitor Lot, Mowatt Lane Garage, Mowatt Visitor Lot, and Regents Drive Garage."
Customer 5,Validation Code/Meter Permit,Daily,Paid Parking Area,Visitor,This driver is a visitor with a DOTS meter permit or validation code. They are able to park in metered or visitor parking spaces and must enter the validation at the meter or pay station.
Customer 40,Basketball Permit,Daily,,Visitor,"This driver is a visitor with a DOTS basketball permit. They are able to park in the designated parking areas during the permited period and must follow any provided instructions for displaying, validating or otherwise using the permit."
Customer 41,Hearing and Speech Clinic Permit,Daily,,Visitor,"This driver is a visitor with a DOTS permit specifically for use for the Hearing and Speech Clinic. They are able to park in the designated parking areas and must follow any provided instructions for displaying, validating or otherwise using the permit."
Customer 42,Event Attendee (Reserved parking provided),Daily,ULG,Visitor,"This driver is a visitor with a DOTS event permit with permission to park in the Union Lane Garage. They are able to park in the designated parking areas and must follow any provided instructions for displaying, validating or otherwise using the permit."
Customer 43,Event Attendee (Parking not provided),,,Visitor,"This driver is a visitor without a DOTS permit. They are eligible to park in metered or visitor parking spaces and must adhere to the restrictions posted on the parking lot signage. Visitors are required to pay for parking in visitor and metered parking spaces, unless otherwise posted. Pay station facilities accept credit/debit card, and validation/pin codes as methods of payment. The DOTS office does not issue any refunds for pay station transactions. Curbside and other visitor parking areas are enforced 7 a.m. to 12:00 a.m., unless otherwise noted on a meter, excluding University-observed holidays with the exception of Labor Day. Meters, including meters located in surface lots, must be paid during hours of operation. Meter durations vary throughout campus and maximum hours (30 minutes, 2 hours, all day, etc.) are printed on each meter. Please report malfunctioning meters to the DOTS office by calling 301-314-3687 (4DOTS). It is prohibited to park at a space with a malfunctioning meter. Monies placed in a malfunctioning meter will not be refunded. Visitor parking areas include metered spaces throughout campus and designated areas in Union Lane Garage, Stadium Drive Garage, Xfinity Visitor Lot, Mowatt Lane Garage, Mowatt Visitor Lot, and Regents Drive Garage."
Customer 44,Visitor After Hours Permit,,Visitor After Hours,Visitor,"This driver is a visitor without a DOTS permit. The After Hours permission type is limited to Graduate Assistants, Teaching Assistants and Resident Assistants. Visitors with this permission type are eligible to park in visitor parking areas or in unrestricted areas during specific days/times. They are eligible to park in metered or visitor parking spaces and must adhere to the restrictions posted on the parking lot signage. Visitors are required to pay for parking in visitor and metered parking spaces, unless otherwise posted. Pay station facilities accept credit/debit card, and validation/pin codes as methods of payment. The DOTS office does not issue any refunds for pay station transactions. Curbside and other visitor parking areas are enforced 7 a.m. to 12:00 a.m., unless otherwise noted on a meter, excluding University-observed holidays with the exception of Labor Day. Meters, including meters located in surface lots, must be paid during hours of operation. Meter durations vary throughout campus and maximum hours (30 minutes, 2 hours, all day, etc.) are printed on each meter. Please report malfunctioning meters to the DOTS office by calling 301-314-3687 (4DOTS). It is prohibited to park at a space with a malfunctioning meter. Monies placed in a malfunctioning meter will not be refunded. Visitor parking areas include metered spaces throughout campus and designated areas in Union Lane Garage, Stadium Drive Garage, Xfinity Visitor Lot, Mowatt Lane Garage, Mowatt Visitor Lot, and Regents Drive Garage."
